Age,Experience,Female
13292,11101,0
15808,15625,0
10105,9740,0
13602,12506,0
10414,10048,0
7926,6465,0
12940,10748,0
11957,10496,0
12205,10013,0
9715,8254,0
14541,13993,0
8263,6802,0
9299,5647,0
10705,9610,0
13399,11573,0
8290,6829,0
16368,15820,0
10943,10748,0
15917,12265,0
10761,7474,0
8547,6355,0
13498,8750,0
9199,5911,1
8402,5115,1
8225,6398,1
8696,5774,1
11277,7990,1
7638,4351,1
9017,7556,1
9116,5464,1
9017,4999,1
7678,5121,1
8738,5085,1
9288,6731,1
7544,5352,1
8357,7077,1
6534,5774,1
10620,5871,1
9477,5825,1
10715,7793,1
9145,5858,1
8378,4726,1
9130,5121,1
10684,8493,1

